episode_id,input_kind,family,dataset_id,horizon_months,coverage,corrected_mean_config,cost_scenario,policy,terminal_wealth,terminal_cash,terminal_units,total_fees,mean_guardrail_floor,theorem_scope
hostile-adaptive-timing-grid-v1-092,synthetic,adversarial-design-search,deterministic-adversarial-v1,6,1,identity-a0-b0,frictionless,dca,2400,0,80.0000000000000000000000000000000000000000000000000000000001,0,,epsilon-dca
hostile-adaptive-timing-grid-v1-092,synthetic,adversarial-design-search,deterministic-adversarial-v1,6,1,identity-a0-b0,frictionless,neutral_guarded,2400,0,80.0000000000000000000000000000000000000000000000000000000001,0,1000,epsilon-dca
hostile-adaptive-timing-grid-v1-092,synthetic,adversarial-design-search,deterministic-adversarial-v1,6,1,identity-a0-b0,frictionless,corrected_guarded,2400,0,80.0000000000000000000000000000000000000000000000000000000001,0,1000,epsilon-dca
hostile-adaptive-timing-grid-v1-092,synthetic,adversarial-design-search,deterministic-adversarial-v1,6,1,identity-a0-b0,proportional-10bps,dca,2397.6023976023976023976023976023976023976023976023976023976,0.000000000000000000000000000000000000000000000000000000001,79.92007992007992007992007992007992007992007992007992007992,5.994005994005994005994005994005994005994005994005994005994,,outside-current-safety-theorem
hostile-adaptive-timing-grid-v1-092,synthetic,adversarial-design-search,deterministic-adversarial-v1,6,1,identity-a0-b0,proportional-10bps,neutral_guarded,2397.6023976023976023976023976023976023976023976023976023976,0.000000000000000000000000000000000000000000000000000000001,79.92007992007992007992007992007992007992007992007992007992,5.994005994005994005994005994005994005994005994005994005994,1000,outside-current-safety-theorem
hostile-adaptive-timing-grid-v1-092,synthetic,adversarial-design-search,deterministic-adversarial-v1,6,1,identity-a0-b0,proportional-10bps,corrected_guarded,2397.6023976023976023976023976023976023976023976023976023976,0.000000000000000000000000000000000000000000000000000000001,79.92007992007992007992007992007992007992007992007992007992,5.994005994005994005994005994005994005994005994005994005994,1000,outside-current-safety-theorem
hostile-adaptive-timing-grid-v1-092,synthetic,adversarial-design-search,deterministic-adversarial-v1,6,1,identity-a0-b0,fixed-1-usd,dca,2397.6,0,79.92,6,,outside-current-safety-theorem
hostile-adaptive-timing-grid-v1-092,synthetic,adversarial-design-search,deterministic-adversarial-v1,6,1,identity-a0-b0,fixed-1-usd,neutral_guarded,2397.6,0,79.92,6,1000,outside-current-safety-theorem
hostile-adaptive-timing-grid-v1-092,synthetic,adversarial-design-search,deterministic-adversarial-v1,6,1,identity-a0-b0,fixed-1-usd,corrected_guarded,2397.6,0,79.92,6,1000,outside-current-safety-theorem
hostile-adaptive-timing-grid-v1-092,synthetic,adversarial-design-search,deterministic-adversarial-v1,6,0.9,identity-a0-b0,frictionless,dca,2400,0,80.0000000000000000000000000000000000000000000000000000000001,0,,epsilon-dca
