episode_id,input_kind,family,dataset_id,horizon_months,coverage,corrected_mean_config,cost_scenario,policy,terminal_wealth,terminal_cash,terminal_units,total_fees,mean_guardrail_floor,theorem_scope
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.9,identity-a0-b0,proportional-10bps,corrected_guarded,3996.20372132864012860890357770349657831557798475245415167384,199.925049968768737512481281200074893893562737206605825499425,37.9627867135987139109642229650342168442201524754584832617441,3.79627867135987139109642229650342168442201524754584832617441,825.056209403106262490634362518721915568824903246725181034625,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.9,identity-a0-b0,fixed-1-usd,dca,3996,0,39.96,4,,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.9,identity-a0-b0,fixed-1-usd,neutral_guarded,3996,199.85,37.9615,4,825.1125,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.9,identity-a0-b0,fixed-1-usd,corrected_guarded,3996,199.85,37.9615,4,825.1125,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.75,identity-a0-b0,frictionless,dca,4000,0,40,0,,epsilon-dca
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.75,identity-a0-b0,frictionless,neutral_guarded,4000,500,35,0,562.5,epsilon-dca
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.75,identity-a0-b0,frictionless,corrected_guarded,4000,500,35,0,562.5,epsilon-dca
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.75,identity-a0-b0,proportional-10bps,dca,3996.003996003996003996003996003996003996003996003996003996,0.000000000000000000000000000000000000000000000000000000001,39.96003996003996003996003996003996003996003996003996003996,3.996003996003996003996003996003996003996003996003996003996,,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.75,identity-a0-b0,proportional-10bps,neutral_guarded,3996.50330931560631552825295025274743979493896787514137319056,499.812624921921843781203203000187234733906843016514563748551,34.9669068439368447174704974725256020506103212485862680944201,3.49669068439368447174704974725256020506103212485862680944201,562.640523507765656226585906296804788922062258116812952586568,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.75,identity-a0-b0,proportional-10bps,corrected_guarded,3996.50330931560631552825295025274743979493896787514137319056,499.812624921921843781203203000187234733906843016514563748551,34.9669068439368447174704974725256020506103212485862680944201,3.49669068439368447174704974725256020506103212485862680944201,562.640523507765656226585906296804788922062258116812952586568,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.75,identity-a0-b0,fixed-1-usd,dca,3996,0,39.96,4,,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.75,identity-a0-b0,fixed-1-usd,neutral_guarded,3996,499.625,34.96375,4,562.78125,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.75,identity-a0-b0,fixed-1-usd,corrected_guarded,3996,499.625,34.96375,4,562.78125,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.5,identity-a0-b0,frictionless,dca,4000,0,40,0,,epsilon-dca
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.5,identity-a0-b0,frictionless,neutral_guarded,4000,875,31.25,0,187.5,epsilon-dca
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.5,identity-a0-b0,frictionless,corrected_guarded,4000,875,31.25,0,187.5,epsilon-dca
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.5,identity-a0-b0,proportional-10bps,dca,3996.003996003996003996003996003996003996003996003996003996,0.000000000000000000000000000000000000000000000000000000001,39.96003996003996003996003996003996003996003996003996003996,3.996003996003996003996003996003996003996003996003996003996,,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.5,identity-a0-b0,proportional-10bps,neutral_guarded,3996.87799709659094030965915325312172221506643328577638024435,874.87509368753124996881240637484393728149971906215662459419,31.2200290340905969034084674687827778493356671422361975565016,3.12200290340905969034084674687827778493356671422361975565016,187.656125093687531249968812406374843937281499719062156624595,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.5,identity-a0-b0,proportional-10bps,corrected_guarded,3996.87799709659094030965915325312172221506643328577638024435,874.87509368753124996881240637484393728149971906215662459419,31.2200290340905969034084674687827778493356671422361975565016,3.12200290340905969034084674687827778493356671422361975565016,187.656125093687531249968812406374843937281499719062156624595,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.5,identity-a0-b0,fixed-1-usd,dca,3996,0,39.96,4,,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.5,identity-a0-b0,fixed-1-usd,neutral_guarded,3996,874.75,31.2125,4,187.8125,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.5,identity-a0-b0,fixed-1-usd,corrected_guarded,3996,874.75,31.2125,4,187.8125,outside-current-safety-theorem
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,1,identity-a0-b0,frictionless,dca,7291.66666666666666666666666666666666666666666666666666666666,0,48.6111111111111111111111111111111111111111111111111111111111,0,,epsilon-dca
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,1,identity-a0-b0,frictionless,neutral_guarded,7291.66666666666666666666666666666666666666666666666666666666,0,48.6111111111111111111111111111111111111111111111111111111111,0,1000,epsilon-dca
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,1,identity-a0-b0,frictionless,corrected_guarded,7291.66666666666666666666666666666666666666666666666666666666,0,48.6111111111111111111111111111111111111111111111111111111111,0,1000,epsilon-dca
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,1,identity-a0-b0,proportional-10bps,dca,7284.38228438228438228438228438228438228438228438228438228438,0.000000000000000000000000000000000000000000000000000000001,48.5625485625485625485625485625485625485625485625485625485625,4.995004995004995004995004995004995004995004995004995004995,,outside-current-safety-theorem
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,1,identity-a0-b0,proportional-10bps,neutral_guarded,7284.38228438228438228438228438228438228438228438228438228438,0.000000000000000000000000000000000000000000000000000000001,48.5625485625485625485625485625485625485625485625485625485625,4.995004995004995004995004995004995004995004995004995004995,1000,outside-current-safety-theorem
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,1,identity-a0-b0,proportional-10bps,corrected_guarded,7284.38228438228438228438228438228438228438228438228438228438,0.000000000000000000000000000000000000000000000000000000001,48.5625485625485625485625485625485625485625485625485625485625,4.995004995004995004995004995004995004995004995004995004995,1000,outside-current-safety-theorem
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,1,identity-a0-b0,fixed-1-usd,dca,7284.375,0,48.5625,5,,outside-current-safety-theorem
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,1,identity-a0-b0,fixed-1-usd,neutral_guarded,7284.375,0,48.5625,5,1000,outside-current-safety-theorem
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,1,identity-a0-b0,fixed-1-usd,corrected_guarded,7284.375,0,48.5625,5,1000,outside-current-safety-theorem
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,0.9,identity-a0-b0,frictionless,dca,7291.66666666666666666666666666666666666666666666666666666666,0,48.6111111111111111111111111111111111111111111111111111111111,0,,epsilon-dca
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,0.9,identity-a0-b0,frictionless,neutral_guarded,7167.10014083758503401360544217687074829931972789115646258503,291.875930059523809523809523809523809523809523809523809523808,45.8348280718537414965986394557823129251700680272108843537415,0,775.626860119047619047619047619047619047619047619047619047618,epsilon-dca
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,0.9,identity-a0-b0,frictionless,corrected_guarded,7154.24301623942204641605801971982199877063728877943595379943,338.739422232434669083102774397671689401251361402403971633329,45.4366906267132491822197016354810020624625728491802132144407,0,788.55615226863043547024173548195570586909045019212460168188,epsilon-dca
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,0.9,identity-a0-b0,proportional-10bps,dca,7284.38228438228438228438228438228438228438228438228438228438,0.000000000000000000000000000000000000000000000000000000001,48.5625485625485625485625485625485625485625485625485625485625,4.995004995004995004995004995004995004995004995004995004995,,outside-current-safety-theorem
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,0.9,identity-a0-b0,proportional-10bps,neutral_guarded,7160.27213427078583576978017698415626991440171608588397079863,291.760826943100661816085679508397223675525220706739061936872,45.7900753821845678263579633165050603082591766358609660590784,4.70353563741947985832558873175984293339108369559766327478833,775.707185298821804802707645489867633986622519937985062899486,outside-current-safety-theorem
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,0.9,identity-a0-b0,proportional-10bps,corrected_guarded,7147.47528724968200066056817623848468431999637427843878613452,338.626227560303108137768057566986531452093530153507065721686,45.3923270645958592834853341244766543524526856274995448027522,4.65671705538431257928294899343957389465325321662986307120711,788.622512979018762429027437626214038747357295895042974109146,outside-current-safety-theorem
monotone-rise-primary,synthetic,monotone-rise,deterministic-adversarial-v1,5,0.9,identity-a0-b0,fixed-1-usd,dca,7284.375,0,48.5625,5,,outside-current-safety-theorem
