slice_id,label,evidence_layer,analysis_tier,evidence_scope,coverage,comparison,comparison_role,cell_count,sample_count_minimum,sample_count_maximum,median_of_cell_medians,minimum_cell_median,maximum_cell_median,minimum_cell_downside_0.05,maximum_worst_observed_relative_shortfall,median_left_cash_drag,median_left_asset_exposure,median_left_guardrail_activation_frequency,median_left_guardrail_floor_per_deposit,median_left_purchase_count,mean_terminal_wealth_gap_per_contributed_capital,mean_cash_contribution_per_contributed_capital,mean_unit_contribution_per_contributed_capital,normalized_cash_unit_identity_residual,cost_scope,aggregation
stochastic-primary,Stochastic primary families,stochastic,primary,controlled sensitivity,0.5,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,15,3,3,0.000219492003887749330437339939731935948903217487269403452926822,-0.000280578769574098157529380678928723050295230255492997629802081,0.000802345040685964574305461783943379796938977151747368596585684,-0.000627852731702556401004164129937814695114865777670088002110097,0.000683871543132851908796606862398622229045254991786622750231804,0.0299085762002884838123574419873087029871629824732699535987336,0.97242608109904959317715818056230690732129484254919475479974,0.064814814814814814814814814814814814814814814814814814814815,0.0210410361365799936922668243812896619204078357512531929310985,36,0.0002420186739575459811133542428542156261162539080721584429961603722222222222222222222222222222222222223,0.00200570951554749810999401323991009126392754497113370800920982212962962962962962962962962962962962963,-0.001763690841589952128880658997055875637811291063061549566213676222222222222222222222222222222222222222,-1.44648148148148148148148148148148148148143E-62,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
stochastic-primary,Stochastic primary families,stochastic,primary,controlled sensitivity,0.5,neutral_guarded_vs_dca,safety-architecture behavior,15,3,3,-0.00520650382398175971626661794399537727223407298059679723857421,-0.00906281961305660337176522795641626074105866585054163444977351,0.00142977635398003433798571573744788716185458704275095265986772,-0.0150900064190933835994277087535654052271339135461194154855985,0.0157945921756475645853064869655018951091433876126909207776455,0.0277777777769569831310950795343207123478244706375611135044512,0.97325529351584403816079850142051066610325047026842886671725,0.0740740740740740740740740740740740740740740740740740740740743,0.0210782683874859259757231183887822973300311047911876419501254,36,-0.004350022623819970843604286863505021225269696961701906697397041944444444444444444444444444444444444445,0.04257883278643849017823778802540395380900958775890039654112352074074074074074074074074074074074074075,-0.04692885541025846102184207488890897503427928472060230323852051851851851851851851851851851851851851851,4.4166666666666666666666666666666666666685E-62,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
stochastic-primary,Stochastic primary families,stochastic,primary,controlled sensitivity,0.75,corrected_guarded_vs_dca,complete-system performance,15,3,3,-0.00407383077357755650073416214336077884676325263098387170803682,-0.00894090069828357732078888820432910012002891492131062149579044,0.00152191210176111202585379746252660847360305423040955828186583,-0.0144679544954619430216832788715183077058199309513054002212013,0.0153721201433004220886863065939792745309009160437634004073573,0.0299085761860632100693972240926256680038742954011136726240737,0.972441631519609823199134124191003560628776479325979867769827,0.175925925925925925925925925925925925925925925925925925925926,0.0725477493074855586919701638959676637231865087930835102895427,36,-0.003608383452073268278868730068958585025262489724081049846368037000000000000000000000000000000000000001,0.04447763037996604351132155968197980761214267144931127205080811037037037037037037037037037037037037037,-0.04808601383203931179019028975093839263740516117339232189717607037037037037037037037037037037037037037,7.7000000000000000000000000000000000000001E-62,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
stochastic-primary,Stochastic primary families,stochastic,primary,controlled sensitivity,0.75,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,15,3,3,0.000206622044727925520802506352077097197617690520446588889562601,-0.000286782464573886265034334684063885417213030341156059336187265,0.000730373619815275793689886447820520840245319787972613168672592,-0.000648607027737969948280637556405297455462652104975863088378753,0.000706987490989442196147938133386832751798390152013661304288576,0.0299085761860632100693972240926256680038742954011136726240737,0.972441631519609823199134124191003560628776479325979867769827,0.175925925925925925925925925925925925925925925925925925925926,0.0725477493074855586919701638959676637231865087930835102895427,36,0.0001984609281642802213655605650404426031089363350612145123509877407407407407407407407407407407407407407,0.001992614403042098588026223191453862333410959988996670695508961666666666666666666666666666666666666667,-0.001794153474877818366660662626413419730302023653935456183158505888888888888888888888888888888888888889,-5.319629629629629629629629629629629629629627E-61,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
stochastic-primary,Stochastic primary families,stochastic,primary,controlled sensitivity,0.75,neutral_guarded_vs_dca,safety-architecture behavior,15,3,3,-0.00431498014585856677373602129820603888143065178969717079976893,-0.00889310673708641542055778570623177688671723073146406499313753,0.000951102084732896235273985804545491412685026671189711797883174,-0.0138287618007589825761671430037137162413133322901705858628613,0.0146755080529283150360531130540248989354246192981233661105531,0.0277777777712860594196661791542723934807996141685224811647392,0.973277128788633737035183384431827679541013282562658066335553,0.175925925925925925925925925925925925925925925925925925925926,0.0729746353227558896252443567317762435990698366931231606045173,36,-0.003806844380237548500234290633999027628371426059142264358719024037037037037037037037037037037037037036,0.04248501597692394492329533649052594527873171146031460135529912074074074074074074074074074074074074074,-0.04629186035716149342352962712452497290710313751945686571401758703703703703703703703703703703703703703,5.57740740740740740740740740740740740740746E-61,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
stochastic-primary,Stochastic primary families,stochastic,primary,controlled sensitivity,0.9,corrected_guarded_vs_dca,complete-system performance,15,3,3,-0.00252998968670959947211466451114172383739871809001752438493353,-0.00636718880076151926825689478172268844256335826464307493992343,0.00204051724274480095265903464212306650770455543829310869212553,-0.0078789936432353541614651294639480039266123601872586723739756,0.00804697195906578026071048887308415009150669373421596097775917,0.0299085535466965968684352172678877657896093701521883597552916,0.972449294665863727090204079006992689872978459498465640318483,0.5,0.237534224872315025460364708960459489030033965747933745075706,36,-0.00203184571004593244594903722611554237239519897283099800204927300000000000000000000000000000000000000,0.0330087656836964055216939884178082740306597189929122681287826774074074074074074074074074074074074074,-0.0350406113937423379676430256439238164030549179657432661308318300000000000000000000000000000000000000,1.2040740740740740740740740740740740740740E-61,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
stochastic-primary,Stochastic primary families,stochastic,primary,controlled sensitivity,0.9,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,15,3,3,0.000113544605376146545969044920801328498585198857337028209037503,-0.000300868227526559206629312535306303423010210776542636421575633,0.000597407284969926169690422418032895563147380957347888715662445,-0.000590168704659486031912890415425409941558834795294313538835897,0.00062231320211870012361106573543864399917534857515561099630926,0.0299085535466965968684352172678877657896093701521883597552916,0.972449294665863727090204079006992689872978459498465640318483,0.5,0.237534224872315025460364708960459489030033965747933745075706,36,0.0001387267255081838687194465836298963706274161166750837069684318907407407407407407407407407407407407407,0.001067736788478799338095069217516476280827389902816613653313310333333333333333333333333333333333333333,-0.000929010062970615469375622633886579910199973786141529946344870403703703703703703703703703703703703704,8.0388888888888888888888888888888888888883E-63,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
stochastic-primary,Stochastic primary families,stochastic,primary,controlled sensitivity,0.9,neutral_guarded_vs_dca,safety-architecture behavior,15,3,3,-0.00268025999169784542461273582310798795021084997355464639968678,-0.00606814628565229614180012827437080404645420838491164129619133,0.00164650897977980729405839228741733984902927569995277656258413,-0.00729316851611586219069827182910008580386803017000809127630028,0.00746223463914335271360134055125479683082107137612642070124088,0.0277777661057595735984010382822731101236217720333565834497921,0.973321416783976316140756982012611235881970346840903453805063,0.50925925925925925925925925925925925925925925925925925925926,0.234646917871714537338356696421508333167084986387026957945127,36,-0.002170572435554116314668483809745438743022615089506081709017703666666666666666666666666666666666666666,0.03194102889521760618359891920029179774983232909009565447546940444444444444444444444444444444444444445,-0.0341116013307717224982674030100372364928549441796017361844869162962962962962962962962962962962962963,1.91814814814814814814814814814814814814816E-61,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
stochastic-primary,Stochastic primary families,stochastic,primary,controlled sensitivity,1,corrected_guarded_vs_dca,complete-system performance,15,3,3,0,0,0,0,0,0,1,1,1,36,0,0,0,0,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
stochastic-primary,Stochastic primary families,stochastic,primary,controlled sensitivity,1,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,15,3,3,0,0,0,0,0,0,1,1,1,36,0,0,0,0,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
