input_kind,family,dataset_id,horizon_months,coverage,corrected_mean_config,cost_scenario,comparison,theorem_scope,attempted_count,sample_count,excluded_count,mean_terminal_wealth_gap,mean_wealth_ratio,win_count,tie_count,loss_count,uncertainty_status,mean_relative_terminal_wealth_gap,median_relative_terminal_wealth_gap,minimum_relative_terminal_wealth_gap,maximum_relative_terminal_wealth_gap,downside_quantile_0.05,downside_quantile_0.10,downside_quantile_0.25,mean_terminal_cash_gap,mean_terminal_unit_gap,mean_left_cash_drag,mean_right_cash_drag,mean_left_asset_exposure,mean_right_asset_exposure,mean_left_guardrail_activation_frequency,mean_right_guardrail_activation_frequency,mean_left_guardrail_floor,mean_right_guardrail_floor,mean_left_total_fees,mean_right_total_fees,mean_left_purchase_count,mean_right_purchase_count
synthetic,adversarial-design-search,deterministic-adversarial-v1,6,0.5,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_dca,outside-current-safety-theorem,42,42,0,780.25268327159157517025476754115537311196160524942027028156,1.39521358789677357973499890755472630733892714716296947161262,42,0,0,not-estimated-by-canonical-run,0.395213587896773579734998907554726307338927147162969471612624,0.388305701837204129067769276692824350883547241651873935033236,0.250596939536793631830848051050918480466539065489942241014686,0.549560026164281970847783399239609308402459676683167210691586,0.280480345820017062470388139552841556773693005938489050374493,0.286329121114048850009805470436174015690293692367500876759348,0.340753301054869244349798235321395447797116136017698789126222,951.316921403077007634705421363844345499678132456013142562229,-5.70214127104951441548168846075629907959055090688642907602212,0.158552820233846167939117570227307390916613022076002190427039,0,0.658429335078451075825802411349249403572562231562692341137819,1,0.396825396825396825396825396825396825396825396825396825396817,0,142.640878882101870328135956035831464900939110799266683142178,,6,6,6,6
synthetic,adversarial-design-search,deterministic-adversarial-v1,6,0.5,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,42,42,0,120.03780355928998786866746595385378581037430366211868297998,1.04489740254542867818732167115934070721421729022682708620329,33,0,9,not-estimated-by-canonical-run,0.044897402545428678187321671159340707214217290226827086203299,0.0477068895014181506043470033049927084046782265468401408008356,-0.0558074073468793976614487727745494069615518783840267895415948,0.137678812235640584365937756042941724466037400515974142476703,-0.0216896456044731420317565055206732820308406244342603049363144,-0.0152389619752708030980355845742209997931947393116914598064513,0.010888254847644766813542361845653634843570576747798591732513,-12.051183755653151095453308794885813230480597702717016167927,4.40296624383143796547069249162465330136183004549452330493026,0.158552820233846167939117570227307390916613022076002190427039,0.16056135085978835978835978835978835978835978835978835978836,0.658429335078451075825802411349249403572562231562692341137819,0.636776158434280140689113574438191330972436064886184702419274,0.396825396825396825396825396825396825396825396825396825396817,0.396825396825396825396825396825396825396825396825396825396817,142.640878882101870328135956035831464900939110799266683142178,134.977447089947089947089947089947089947089947089947089947089,6,6,6,6
synthetic,adversarial-design-search,deterministic-adversarial-v1,6,0.5,identity-a0-b0,fixed-1-usd,neutral_guarded_vs_dca,outside-current-safety-theorem,42,42,0,660.214879712301587301587301587301587301587301587301587301586,1.33586280795675575443148206637872357537628510836846633238247,42,0,0,not-estimated-by-canonical-run,0.335862807956755754431482066378723575376285108368466332382469,0.327017408033033033033033033033033033033033033033033033033033,0.243711159075742409075742409075742409075742409075742409075742,0.490596846846846846846846846846846846846846846846846846846854,0.256082926223324774049411730571150861005933469701585643614623,0.265700333485659572616094355224790007398703050876963920442182,0.289378831956956956956956956956956956956956956956956956956957,963.368105158730158730158730158730158730158730158730158730157,-10.1051075148809523809523809523809523809523809523809523809525,0.16056135085978835978835978835978835978835978835978835978836,0,0.636776158434280140689113574438191330972436064886184702419274,1,0.396825396825396825396825396825396825396825396825396825396817,0,134.977447089947089947089947089947089947089947089947089947089,,6,6,6,6
synthetic,adversarial-design-search,deterministic-adversarial-v1,6,0.5,identity-a0-b0,frictionless,corrected_guarded_vs_dca,epsilon-dca,42,42,0,780.280815995261550902098518083712524544642378221572946980748,1.39483285629865250379356583546426870886602463279030832415925,42,0,0,not-estimated-by-canonical-run,0.39483285629865250379356583546426870886602463279030832415926,0.38796634320100154829988737088983740896396151631804056012122,0.250342603567824309335287713713491417111400184584850159128229,0.5490703241542472416513755968824658405114465295707270420147,0.280195161838674976062087604950928488794835662678424043889171,0.286044599065462380232447162298275619710385424937020082463512,0.34041230410763903826190124443989976955615494308641834207845,951.350469312321701621823082699810870328104952536814045006519,-5.70232177723533835732415215386994485944875247717470326752588,0.15855841155205361693697051378330181172135082542280234083442,0,0.658664601884091177111153676643473970302403102625481086871536,1,0.396825396825396825396825396825396825396825396825396825396817,0,142.520233042053542384369904850175566980478603319384784727283,,0,0,6,6
synthetic,adversarial-design-search,deterministic-adversarial-v1,6,0.5,identity-a0-b0,frictionless,corrected_guarded_vs_neutral_guarded,epsilon-dca,42,42,0,120.058221749229804870352486337680778512896346475541200948998,1.04487089312107867900040160783503818580334788920560563021243,33,0,9,not-estimated-by-canonical-run,0.0448708931210786790004016078350381858033478892056056302124362,0.0476802286322031365371252441030407088430442526303713859430216,-0.0557683976320804647268305226717346024278133518284169729606172,0.137599646661626696208303310532954831841502095362479307173267,-0.0216725765170120608007973119872613578972565513020853191969045,-0.0152255640927114610844537916843769564945515359384917662039763,0.0108839028997838043789571045948151874139297084477640162234252,-12.0547886241862348861134252366970661798315553996938915014204,4.403767012447201325215530385812594823090930062507836415014,0.15855841155205361693697051378330181172135082542280234083442,0.16056754298941798941798941798941798941798941798941798941799,0.658664601884091177111153676643473970302403102625481086871536,0.637034834142865352474260384129141496090894665606957674588926,0.396825396825396825396825396825396825396825396825396825396817,0.384920634920634920634920634920634920634920634920634920634912,142.520233042053542384369904850175566980478603319384784727283,134.854497354497354497354497354497354497354497354497354497355,0,0,6,6
synthetic,adversarial-design-search,deterministic-adversarial-v1,6,0.5,identity-a0-b0,frictionless,neutral_guarded_vs_dca,epsilon-dca,42,42,0,660.222594246031746031746031746031746031746031746031746031748,1.33553125879831077427850690931667029199863844018988914475714,42,0,0,not-estimated-by-canonical-run,0.335531258798310774278506909316670291998638440189889144757136,0.3266796875,0.243489583333333333333333333333333333333333333333333333333342,0.490104166666666666666666666666666666666666666666666666666667,0.255846920289855072463768115942028985507246376811594202898557,0.265427989130434782608695652173913043478260869565217391304348,0.289080255681818181818181818181818181818181818181818181818182,963.405257936507936507936507936507936507936507936507936507938,-10.1060887896825396825396825396825396825396825396825396825398,0.16056754298941798941798941798941798941798941798941798941799,0,0.637034834142865352474260384129141496090894665606957674588926,1,0.384920634920634920634920634920634920634920634920634920634912,0,134.854497354497354497354497354497354497354497354497354497355,,0,0,6,6
synthetic,adversarial-design-search,deterministic-adversarial-v1,6,0.5,identity-a0-b0,proportional-10bps,corrected_guarded_vs_dca,outside-current-safety-theorem,42,42,0,780.437991185234516797122324651344228062223285522778356077971,1.39530626699217052450654636800956431237680054488992484841558,42,0,0,not-estimated-by-canonical-run,0.395306266992170524506546368009564312376800544889924848415581,0.3884254252976900803040395338428987915504266892118463896098,0.250693236363186084020725947857122079694518486519799185898849,0.549694586072143730397879527957968140524111177487778477683721,0.280535294587291186581811114694944368106018091931354650646145,0.286362006711161029206909951036165477341918368727151066821964,0.340773797501511117714592517733730484294043457606603156471711,951.338071600594387222851448372232672879757153492079912731571,-5.6966693471786623475243041240296148272511289323100518884531,0.158556345266765731203808574728705445479959525582013318788595,0.00000000000000000000000000000000000000000000000000000000000016666666666666666666666666666666666666666666666666666666667,0.658446130454183494029383699045270122730476725117107390563288,1,0.396825396825396825396825396825396825396825396825396825396817,0,142.569078537748793346220296603133889378112515587737125514372,,5.04361831008931629648066788374402330381642642008783225501343,5.994005994005994005994005994005994005994005994005994005994,6,6
synthetic,adversarial-design-search,deterministic-adversarial-v1,6,0.5,identity-a0-b0,proportional-10bps,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,42,42,0,119.916906373143730874260100753207477257945916187803575314506,1.04484714071017328047777009427908296664085505023366956425202,33,0,9,not-estimated-by-canonical-run,0.0448471407101732804777700942790829666408550502336695642520217,0.0476951586388901354247786995858556201888414613165793835238176,-0.0558847067558028599873301511768706489981642714062325620619618,0.137682116450534497489156410386616653547349968444492879398203,-0.0217790321019826845485258991085117984501001441867547088259183,-0.0152934384232920307921332171520787022126740023126640110298696,0.0108126150898839126213183178903212386626811762712130543177821,-12.0499641135527155356399215077485957129000505537355216952508,4.39889568288988154699666740869853576569486555805130323365855,0.158556345266765731203808574728705445479959525582013318788595,0.160564672619024517126415228313330211432109534007635905737804,0.658446130454183494029383699045270122730476725117107390563288,0.636810398714126893353149140232056280534739981548427851053695,0.396825396825396825396825396825396825396825396825396825396817,0.396825396825396825396825396825396825396825396825396825396817,142.569078537748793346220296603133889378112515587737125514372,134.912150575059095110472304706641798121746744552510215418736,5.04361831008931629648066788374402330381642642008783225501343,5.03158038390195094629521341670331541599135144450967489068248,6,6
synthetic,adversarial-design-search,deterministic-adversarial-v1,6,0.5,identity-a0-b0,proportional-10bps,neutral_guarded_vs_dca,outside-current-safety-theorem,42,42,0,660.521084812090785922862223898136750804277369334974780763471,1.33601527160698472845230634282162131476621971404012802620528,42,0,0,not-estimated-by-canonical-run,0.336015271606984728452306342821621314766219714040128026205283,0.32716745364010989010989010989010989010989010989010989010989,0.243879776360254866123996993127862258731389600520469651338785,0.490749301046176046176046176046176046176046176046176046176041,0.256255431434688319108247006435774189759335048828164408236506,0.265851074876210745775963167267515093602050123789254224036829,0.2895235907558350740168921987103805285623467441649259831078,963.388035714147102758491369879981268592657204045815434426821,-10.0955650300685438945209715327281505929459944903613551221117,0.160564672619024517126415228313330211432109534007635905737804,0.00000000000000000000000000000000000000000000000000000000000016666666666666666666666666666666666666666666666666666666667,0.636810398714126893353149140232056280534739981548427851053695,1,0.396825396825396825396825396825396825396825396825396825396817,0,134.912150575059095110472304706641798121746744552510215418736,,5.03158038390195094629521341670331541599135144450967489068248,5.994005994005994005994005994005994005994005994005994005994,6,6
synthetic,adversarial-design-search,deterministic-adversarial-v1,6,0.75,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_dca,outside-current-safety-theorem,42,42,0,689.415626527504209058264020006019591147868153153106859718845,1.3485309487561558862820269690305063388403383851448205716179,42,0,0,not-estimated-by-canonical-run,0.348530948756155886282026969030506338840338385144820571617907,0.34492188168122458653527951584258808283831355156433447328123,0.205961444459955951917207555281175455082908957470142419884084,0.496395024232581393738029944562046283652465730644918020405076,0.228950242492649405777662676738403684537955929627117868210725,0.256882262707019596718171210078263397023327860064761853393939,0.284130474531101241798047749584829636453900054927011586795695,810.392518308578041205562860534552098718263098445304108241262,-4.032563059369127738243294684284416919013164843073241617414,0.135065419718096340200927143422425349786377183074217351373545,0,0.699716853420001981796893883443994814191384384303532950846912,1,0.742063492063492063492063492063492063492063492063492063492064,0,387.823921366247898088424102555619667691858299392999624464924,,6,6,6,6
