episode_id,input_kind,family,dataset_id,horizon_months,coverage,corrected_mean_config,cost_scenario,policy,terminal_wealth,terminal_cash,terminal_units,total_fees,mean_guardrail_floor,theorem_scope
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.9,identity-a0-b0,fixed-1-usd,dca,12996.4956645619109420783636270999630409018340949041224810948,0,123.577172925682070252469768247713839782350912493135515948199,12,,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.9,identity-a0-b0,fixed-1-usd,neutral_guarded,12945.9850945068106168555412139593705384003688941258115179257,630.356410855371386859465770637459523763494640647210397633201,117.103149557306897203905079511411416560316298950761710726803,12,614.857945628397997798994366402558567447283691466941835000268,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.9,identity-a0-b0,fixed-1-usd,corrected_guarded,12945.9473101463736498128260614191963103599691690528742150602,663.426042331866246614653538017966016474837246843063104170053,116.788347709362688253167358892297396275185132129939748102947,12,620.264859773509460246968135239853437981868312827950701847838,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.75,identity-a0-b0,frictionless,dca,13009.5051697316425846630266537537167576594935884926150961909,0,123.700873799481551804274042290003843625976889382518033982181,0,,epsilon-dca
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.75,identity-a0-b0,frictionless,neutral_guarded,12893.8102516605415636507927513343407551208087781216377487077,996.31094805415333557590032033000312302062510235532748533886,113.127366543426497267517873052598591432132719938966447677107,0,219.229759495905663943865662981054478520106690529059550583118,epsilon-dca
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.75,identity-a0-b0,frictionless,corrected_guarded,12893.1884758752651323843047851544611925858212726799922547507,1095.93678251179147410639181445535721160855587060245110939409,112.174162188489899105809321137145206614122378619193667548043,0,216.091216520646472032232667980645451174156161300205869378158,epsilon-dca
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.75,identity-a0-b0,proportional-10bps,dca,12996.5086610705720126503762774762405171423512372553597364545,0.000000000000000000000000000000000000000000000000000000001,123.57729650297857323104299929071313049548140797454349049169,11.988011988011988011988011988011988011988011988011988011988,,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.75,identity-a0-b0,proportional-10bps,neutral_guarded,12881.9435928622093514633839368566211345262597094112817551571,996.3058898711809788451002132585826897074668250297586252506,113.014580519543411392865644528559074216262711651528896702894,10.9927014087200989222326671196217955147777554195506906840653,219.334382183951046834743192997068293812555339345724218604752,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.75,identity-a0-b0,proportional-10bps,corrected_guarded,12881.4312192529947811451951277991133824460272163590577012817,1095.92288400364878506040609186043829473056101886146880461603,112.062500473374274238082307939214750239975994472183059408678,10.8931839320642869280115823258137479573121268542842469484355,216.232413483633574143528093302561380303862665435881052522692,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.75,identity-a0-b0,fixed-1-usd,dca,12996.4956645619109420783636270999630409018340949041224810948,0,123.577172925682070252469768247713839782350912493135515948199,12,,outside-current-safety-theorem
