analysis_tier,family,generator_config_id,horizon_months,coverage,corrected_mean_config,cost_scenario,comparison,theorem_scope,attempted_count,generated_count,sample_count,excluded_count,mean_terminal_wealth_gap,mean_wealth_ratio,mean_relative_terminal_wealth_gap,median_relative_terminal_wealth_gap,minimum_relative_terminal_wealth_gap,maximum_relative_terminal_wealth_gap,downside_quantile_0.05,downside_quantile_0.10,downside_quantile_0.25,worst_observed_relative_shortfall,win_count,tie_count,loss_count,mean_terminal_cash_gap,mean_terminal_unit_gap,mean_cash_contribution,mean_unit_contribution,mean_identity_residual,mean_left_cash_drag,mean_right_cash_drag,mean_left_asset_exposure,mean_right_asset_exposure,mean_left_guardrail_activation_frequency,mean_right_guardrail_activation_frequency,mean_left_guardrail_floor,mean_right_guardrail_floor,mean_left_purchase_count,mean_right_purchase_count,mean_left_total_fees,mean_right_total_fees
primary,trend,trend-positive-baseline,12,0.9,identity-a0-b0,proportional-10bps,neutral_guarded_vs_dca,outside-current-safety-theorem,3,3,3,0,-36.0979953551608310483990406979625629332189976903141020558333,0.997446844531647990355136123359217893532051489354869926996673,-0.00255315546835200964486387664078210646794851064513007300332879,-0.00383595098412261044479591734680755440484026396726861470113301,-0.00640809442444557894532058012245799028111476867364037596041975,0.00258457900351216045552486754691922528210950070551877165156642,-0.00615088008041328209526811384489294669348731820300319983449108,-0.0058936657363809852452156475673279031058598677323660237085624,-0.00512202270428409469505824873463277234297751632045449533077638,0.00640809442444557894532058012245799028111476867364037596041975,1,0,2,621.253766254006845512141065680451791034017779593966558914463,-6.138892624307691616331568332152651950496379446916144020805,621.253766254006845512141065680451791034017779593966558914463,-657.35176160916767656054010637841435396723677728428066097034,0.0000000000000000000000000000000000000000000000000000000476666666666666666666666666666666666666666666666666666666667,0.0517711471878339037926784221400376492528348149661638799095383,0.0000000000000000000000000000000000000000000000000000000000000833333333333333333333333333333333333333333333333333333333333,0.95081423913664062631931197483220433316014842238929495268501,1,1,0,616.911765537317699510435657619620847093074404837187492544533,,12,12,11.3673788548911020524354235108087394694964857346713620790065,11.988011988011988011988011988011988011988011988011988011988
primary,trend,trend-positive-baseline,12,0.9,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_dca,outside-current-safety-theorem,3,3,3,0,-37.2356991579718204579384229160376653320527592412748021823,0.997362238253429201307461607657464660783116804215891021468657,-0.00263776174657079869253839234253533921688319578410897853134346,-0.0038893833938151195137901112226315463210124406663053348084298,-0.00659480617807768473021522521512133077683284874528719815490682,0.00257090433218040816639015941014685944719570205926559736930623,-0.00632426389965142820857271381587235233125080793738901182025912,-0.00605372162122517168693020241662337388566876712949082548561142,-0.00524209478594640212200266821887643854892264470579626648166831,0.00659480617807768473021522521512133077683284874528719815490682,1,0,2,643.87038426812313887666542149966083200441514741552220216666,-6.35454246073511844851247968243401043653048531174540833492367,643.87038426812313887666542149966083200441514741552220216666,-681.106083426094959334603844415698497336467906656797004348937,-0.000000000000000000000000000000000000000000000000000000022,0.053655865355676928239722118458305069333701262284626850180555,0,0.949106880367218888799283776443030610596628939860896450375733,1,1,0,622.084725158740352315342603895043867329189926414975111426977,,12,12,12,12
primary,trend,trend-positive-baseline,12,0.9,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,3,3,3,0,-0.4970703261151975613516977832441170480667937140139963745,0.99996550850359380978739017639951653866398445322820172513424,-0.000034491496406190212609823600483461336015546771798274865759417,-0.00000291861609303100106695356811918445327277327670243907915541208,-0.000138104303354117952083786253630929595898796474348842143516458,0.0000375484302285783153212690202997300411249294356564566253936189,-0.000124585734628009256982102985079755081636194154584201837080353,-0.000111067165901900561880419716528580567373591834819561530644249,-0.000070511459723574476575369910875057024585784875525640611335935,0.000138104303354117952083786253630929595898796474348842143516458,1,0,2,22.9140844803085133321299496259238005513676411245216868234013,-0.212441207709191726689980662631325041371729803248991196929,22.9140844803085133321299496259238005513676411245216868234013,-23.4111548064237108934816474091679175994344348385356831978872,-0.000000000000000000000000000000000000000000000000000000014098,0.053655865355676928239722118458305069333701262284626850180555,0.0517463583156512187953779559894780859544206255242500429452713,0.949106880367218888799283776443030610596628939860896450375733,0.95083520342657654154946394010675514723659679714550234085634,1,1,622.084725158740352315342603895043867329189926414975111426977,617.079907513290268074601838156651680593686926932026559166823,12,12,12,12
primary,trend,trend-positive-baseline,12,0.9,identity-a0-b0,fixed-1-usd,neutral_guarded_vs_dca,outside-current-safety-theorem,3,3,3,0,-36.7386288318566228965867251327935482839859655272608058078,0.997396396988309980630256597059453148535422099309001724878153,-0.00260360301169001936974340294054685146457790069099827512184745,-0.00388647612085384001743843983377709309374490917898508903853688,-0.00645759369620232474379224837852870690397719232121148406504755,0.00253326078198610665200047939066524560398839942720174773804206,-0.00620048193866747627115686752405354552295396400698884456239648,-0.00594337018113262779852148666957838414193073569276620505974542,-0.00517203490852808238061534410615289999886105075009828655179221,0.00645759369620232474379224837852870690397719232121148406504755,1,0,2,620.956299787814625544535471873737031453047506291000515343257,-6.14210125302592672182249901980268539515875550849641713799467,620.956299787814625544535471873737031453047506291000515343257,-657.694928619671248441122197006530579737033471818261321151047,-0.000000000000000000000000000000000000000000000000000000008,0.0517463583156512187953779559894780859544206255242500429452713,0,0.95083520342657654154946394010675514723659679714550234085634,1,1,0,617.079907513290268074601838156651680593686926932026559166823,,12,12,12,12
primary,trend,trend-positive-baseline,12,0.75,identity-a0-b0,frictionless,corrected_guarded_vs_dca,epsilon-dca,3,3,3,0,-86.0747112930952990282295898178533897629806936001793330524,0.99376315388354661982883834557778589614925890345775737856849,-0.0062368461164533801711616544222141038507410965422426214315114,-0.00894090069828357732078888820432910012002891492131062149579044,-0.0130974196438644345538373822716329689359849316474360300969213,0.00332778199278787136114130720931975750379055694201878729817747,-0.0126817677493063488305325328649025820543893299748234892368082,-0.0122661158547482631072276834581721951727937283022109483766951,-0.0110191601710740059373131352379810345280069232843733257963559,0.0130974196438644345538373822716329689359849316474360300969213,1,0,2,1067.31052423353434312399601256468919177334292353818764514295,-10.7630605691960947995667980382356330470782749905236175058567,1067.31052423353434312399601256468919177334292353818764514295,-1153.38523552662964215222560238254258153632361713836697819535,0.00000000000000000000000000000000000000000000000000000000533333333333333333333333333333333333333333333333333333333333,0.088942543686127861926999667713724099314445243628182303761912,0,0.915367567327837955268386318366362491201108561238964862615223,1,0.527777777777777777777777777777777777777777777777777777777777,0,217.643247922456676075910491687902991169559526379250530868628,,12,12,0,0
primary,trend,trend-positive-baseline,12,0.75,identity-a0-b0,frictionless,corrected_guarded_vs_neutral_guarded,epsilon-dca,3,3,3,0,-0.6974010223245415014438996676046546189886502736858617781,0.999960597731394835756472863924449953517164776286551165480023,-0.000039402268605164243527136075550046482835223713448834519977819,-0.0000482228118097484243000837255520159378292240013107407355986441,-0.000318401471389959058707512399589329864462794443592387145309854,0.000248417477384214752426187898491206353786347304556624320975041,-0.000291383605431937995266769532185598471799437399364222504338733,-0.000264365739473916931826026664781867079136080355136057863367612,-0.000183312141599853741503798062570672901146009222451563940454249,0.000318401471389959058707512399589329864462794443592387145309854,1,0,2,71.2313908333216742436227029071719805069522891133442275391383,-0.656302158602604770357281227832970566064245834056746051542,71.2313908333216742436227029071719805069522891133442275391383,-71.9287918556462157450666025747766351259409393870300893172647,0.0000000000000000000000000000000000000000000000000000000263,0.088942543686127861926999667713724099314445243628182303761912,0.0830065944500177224066977758047931009388658862020702848003173,0.915367567327837955268386318366362491201108561238964862615223,0.92080731805921330818756831741536378860818501496194585547202,0.527777777777777777777777777777777777777777777777777777777777,0.527777777777777777777777777777777777777777777777777777777777,217.643247922456676075910491687902991169559526379250530868628,219.400046327840077333416473680687299763321525299656913781364,12,12,0,0
primary,trend,trend-positive-baseline,12,0.75,identity-a0-b0,frictionless,neutral_guarded_vs_dca,epsilon-dca,3,3,3,0,-85.3773102707707575267856901502487351439920433264934712743,0.993800801557910006673312814092030604261061008907032475246053,-0.0061991984420899933266871859079693957389389910929675247539451,-0.00889310673708641542055778570623177688671723073146406499313753,-0.0127830883266065748380878071064100712845326521605577708533171,0.00307859973742301027858403508873366095443290961311926158461933,-0.0123940901676545588963348049663922418447511100176484002672991,-0.0120050920087025429545818028263744124049695678747390296812812,-0.0108380975318464951293227964063209240856249414460109179232273,0.0127830883266065748380878071064100712845326521605577708533171,1,0,2,996.079133400212668880373309657517211266390634424843417603807,-10.1067584105934900292095168104026624810140291564668714543147,996.079133400212668880373309657517211266390634424843417603807,-1081.45644367098342640715899980776594641038267775133688887809,-0.0000000000000000000000000000000000000000000000000000000206666666666666666666666666666666666666666666666666666666667,0.0830065944500177224066977758047931009388658862020702848003173,0,0.92080731805921330818756831741536378860818501496194585547202,1,0.527777777777777777777777777777777777777777777777777777777777,0,219.400046327840077333416473680687299763321525299656913781364,,12,12,0,0
primary,trend,trend-positive-baseline,12,0.75,identity-a0-b0,proportional-10bps,corrected_guarded_vs_dca,outside-current-safety-theorem,3,3,3,0,-84.9058292288175207738754377568397669177198412844508753469667,0.993848650249089579816019413891129994991445960495566799452987,-0.00615134975091042018398058610887000500855403950443320054701337,-0.00885448891072395618986468370387963469231961400200818955829295,-0.0130178220659076072877238418712206419851594400577335108187994,0.00341826172390030292564676724849026165181693554644209873605232,-0.0126014887503892421779379260544865412558754574521609786927488,-0.0121851554348708770681520102377524405265914748465884465666981,-0.0109361554883157817387942627875501383387395270298708501885462,0.0130178220659076072877238418712206419851594400577335108187994,1,0,2,1067.30209905632249403104365935401494602318752188126511514304,-10.7520658338553167798674883357067540902755428295822339988543,1067.30209905632249403104365935401494602318752188126511514304,-1152.20792828514001480491909711085471294090736316571599048999,-0.000000000000000000000000000000000000000000000000000000017,0.0889418415880268745025869716128345788352656268234387595952533,0.0000000000000000000000000000000000000000000000000000000000000833333333333333333333333333333333333333333333333333333333333,0.915290898211374869531801053452533152330270027457658618917633,1,0.527777777777777777777777777777777777777777777777777777777777,0,217.760081327266751431211401861555473270252966970246463008876,,12,12,10.9217761248188586473216347059400450089678446334852496352217,11.988011988011988011988011988011988011988011988011988011988
primary,trend,trend-positive-baseline,12,0.75,identity-a0-b0,proportional-10bps,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,3,3,3,0,-0.631077700086095052859381125638777217903216812479527121533333,0.99996563951309170462741748045584105734062473640218444256259,-0.0000343604869082953725825195441589426593752635978155574374111407,-0.0000397745577382028581822259427959658298737496141739787450117983,-0.000312826455457811781390988803390172926259826070879608781751052,0.000249519552471128521825656113709310778007784891606915214529428,-0.000285521265685850889070112517330752216621218425209045778077127,-0.000258216075913889996749236231271331506982610779538482774403201,-0.000176300506598007319786607373093069378066787842526793763381425,0.000312826455457811781390988803390172926259826070879608781751052,1,0,2,71.2302172298666512257641356440705179962766438005272572964697,-0.655679003473660500281939261697820213278163073294318426089667,71.2302172298666512257641356440705179962766438005272572964697,-71.8612949299527462786235167697092952141798606130067844179967,-0.0000000000000000000000000000000000000000000000000000000064,0.0889418415880268745025869716128345788352656268234387595952533,0.083005990152204653567106626975828702335575906506728154820548,0.915290898211374869531801053452533152330270027457658618917633,0.920735141216135006205962047828677266940774079402131815403367,0.527777777777777777777777777777777777777777777777777777777777,0.527777777777777777777777777777777777777777777777777777777777,217.760081327266751431211401861555473270252966970246463008876,219.516708592472061924845103869751004107852885266245928882945,12,12,10.9217761248188586473216347059400450089678446334852496352217,10.9929351829905536035911293469431124595135755463728892529005
primary,trend,trend-positive-baseline,12,0.75,identity-a0-b0,proportional-10bps,neutral_guarded_vs_dca,outside-current-safety-theorem,3,3,3,0,-84.2747515287314257210160566312009896998166244719713482254333,0.993881305141447644430788234332297508893783922965458313000477,-0.006118694858552355569211765667702491106216077034541686999524,-0.00881506496829630084224785523860721525166998831561869919379455,-0.0127089713128981244391737135078633273748385310695228500242961,0.00316795170553735857378627174336306930786028828151648821951865,-0.0123195806784379420794811276809377161625216767941324349412459,-0.0119301900439777597197885418540121049502048225187420198581958,-0.0107620181405972126407107843732352713132542596925707746090453,0.0127089713128981244391737135078633273748385310695228500242961,1,0,2,996.071881826455842805279523709944428026910878080737857846573,-10.0963868303816562795855490740089338769973797562879155727647,996.071881826455842805279523709944428026910878080737857846573,-1080.346633355187268526295580341145417726727502552709206072,-0.0000000000000000000000000000000000000000000000000000000103333333333333333333333333333333333333333333333333333333333,0.083005990152204653567106626975828702335575906506728154820548,0.0000000000000000000000000000000000000000000000000000000000000833333333333333333333333333333333333333333333333333333333333,0.920735141216135006205962047828677266940774079402131815403367,1,0.527777777777777777777777777777777777777777777777777777777777,0,219.516708592472061924845103869751004107852885266245928882945,,12,12,10.9929351829905536035911293469431124595135755463728892529005,11.988011988011988011988011988011988011988011988011988011988
