input_kind,family,dataset_id,horizon_months,coverage,corrected_mean_config,cost_scenario,comparison,theorem_scope,attempted_count,sample_count,excluded_count,mean_terminal_wealth_gap,mean_wealth_ratio,win_count,tie_count,loss_count,uncertainty_status,mean_relative_terminal_wealth_gap,median_relative_terminal_wealth_gap,minimum_relative_terminal_wealth_gap,maximum_relative_terminal_wealth_gap,downside_quantile_0.05,downside_quantile_0.10,downside_quantile_0.25,mean_terminal_cash_gap,mean_terminal_unit_gap,mean_left_cash_drag,mean_right_cash_drag,mean_left_asset_exposure,mean_right_asset_exposure,mean_left_guardrail_activation_frequency,mean_right_guardrail_activation_frequency,mean_left_guardrail_floor,mean_right_guardrail_floor,mean_left_total_fees,mean_right_total_fees,mean_left_purchase_count,mean_right_purchase_count
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.75,identity-a0-b0,frictionless,corrected_guarded_vs_neutral_guarded,epsilon-dca,1,1,0,125.34831537161177280533473199356949620659468019291514706963,1.02184359740158941748528758862129431698702436153758055925748,1,0,0,not-estimated-by-canonical-run,0.0218435974015894174852875886212943169870243615375805592574822,0.0218435974015894174852875886212943169870243615375805592574822,0.0218435974015894174852875886212943169870243615375805592574822,0.0218435974015894174852875886212943169870243615375805592574822,0.0218435974015894174852875886212943169870243615375805592574822,0.0218435974015894174852875886212943169870243615375805592574822,0.0218435974015894174852875886212943169870243615375805592574822,-26.728425548197515295492081902934636640201572189764646466631,1.2673061743317440675068901158042011070566354365223316128022,0.116466213928822035402440045157874611133498147100508609168212,0.121811899038461538461538461538461538461538461538461538461538,0.900690408421998018854544377167282833805197686500220840235258,0.893863348963610515484970585232137106592206853758728213828476,1,1,473.126748198604358875754273584961834628530350921388510273262,492.587139423076923076923076923076923076923076923076923076922,0,0,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.75,identity-a0-b0,frictionless,neutral_guarded_vs_dca,epsilon-dca,1,1,0,-17.96374198717948717948717948717948717948717948717948717949,0.996879349944320712694877505567928730512249443207126948775055,0,0,1,not-estimated-by-canonical-run,-0.00312065005567928730512249443207126948775055679287305122494481,-0.00312065005567928730512249443207126948775055679287305122494481,-0.00312065005567928730512249443207126948775055679287305122494481,-0.00312065005567928730512249443207126948775055679287305122494481,-0.00312065005567928730512249443207126948775055679287305122494481,-0.00312065005567928730512249443207126948775055679287305122494481,-0.00312065005567928730512249443207126948775055679287305122494481,609.059495192307692307692307692307692307692307692307692307691,-5.2251936431623931623931623931623931623931623931623931623932,0.121811899038461538461538461538461538461538461538461538461538,0,0.893863348963610515484970585232137106592206853758728213828476,1,1,0,492.587139423076923076923076923076923076923076923076923076922,,0,0,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.75,identity-a0-b0,proportional-10bps,corrected_guarded_vs_dca,outside-current-safety-theorem,1,1,0,107.73274759780140724846730103388777513884879462465855916241,1.01873398099541456186001298425417347373561477992584430062869,1,0,0,not-estimated-by-canonical-run,0.0187339809954145618600129842541734737356147799258443006286919,0.0187339809954145618600129842541734737356147799258443006286919,0.0187339809954145618600129842541734737356147799258443006286919,0.0187339809954145618600129842541734737356147799258443006286919,0.0187339809954145618600129842541734737356147799258443006286919,0.0187339809954145618600129842541734737356147799258443006286919,0.0187339809954145618600129842541734737356147799258443006286919,582.092114253672765647169398366544823747173751088755409643126,-3.9529947221322613199891841444388087384027079705341404206727,0.116418422850734553129433879673308964749434750217751081928625,0.0000000000000000000000000000000000000000000000000000000000002,0.900639615779749939092727622484196826566069456362114689357009,1,1,0,473.33605879899281437628085874700093885159915811663291731208,,4.41349439135497226209073986177168349276006618272851607428258,4.995004995004995004995004995004995004995004995004995004995,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.75,identity-a0-b0,proportional-10bps,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,1,1,0,125.1139713836474799821246010810043670513323693808068449982,1.02182241350293584447547604721790561491570348557565754914183,1,0,0,not-estimated-by-canonical-run,0.0218224135029358444754760472179056149157034855756575491418267,0.0218224135029358444754760472179056149157034855756575491418267,0.0218224135029358444754760472179056149157034855756575491418267,0.0218224135029358444754760472179056149157034855756575491418267,0.0218224135029358444754760472179056149157034855756575491418267,0.0218224135029358444754760472179056149157034855756575491418267,0.0218224135029358444754760472179056149157034855756575491418267,-26.722467316658098049966091209972553842555764734349439522878,1.2653036558358798169340891024248076741157344509596357043422,0.116418422850734553129433879673308964749434750217751081928625,0.121762916314066172739427097915303475517945903164620969833201,0.900639615779749939092727622484196826566069456362114689357009,0.893810392247039709493434188867110754300073234246667262065906,1,1,473.33605879899281437628085874700093885159915811663291731208,492.779553735312842258924068304417306982255439473465284736012,4.41349439135497226209073986177168349276006618272851607428258,4.38679861980985927702583867175173089151875173244445070013387,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.75,identity-a0-b0,proportional-10bps,neutral_guarded_vs_dca,outside-current-safety-theorem,1,1,0,-17.38122378584607273365730004711659191248357475614828583579,0.996977525187636325908912038590025012776519170267682525920965,0,0,1,not-estimated-by-canonical-run,-0.00302247481236367409108796140997498722348082973231747407903522,-0.00302247481236367409108796140997498722348082973231747407903522,-0.00302247481236367409108796140997498722348082973231747407903522,-0.00302247481236367409108796140997498722348082973231747407903522,-0.00302247481236367409108796140997498722348082973231747407903522,-0.00302247481236367409108796140997498722348082973231747407903522,-0.00302247481236367409108796140997498722348082973231747407903522,608.814581570330863697135489576517377589729515823104849166004,-5.2182983779681411369232732468636164125184424214937761250149,0.121762916314066172739427097915303475517945903164620969833201,0.0000000000000000000000000000000000000000000000000000000000002,0.893810392247039709493434188867110754300073234246667262065906,1,1,0,492.779553735312842258924068304417306982255439473465284736012,,4.38679861980985927702583867175173089151875173244445070013387,4.995004995004995004995004995004995004995004995004995004995,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.9,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_dca,outside-current-safety-theorem,1,1,0,42.9016405294453598373850748747154739942104171336642348604,1.00746030654551374998008261232329836957569688293287900443676,1,0,0,not-estimated-by-canonical-run,0.00746030654551374998008261232329836957569688293287900443675569,0.00746030654551374998008261232329836957569688293287900443675569,0.00746030654551374998008261232329836957569688293287900443675569,0.00746030654551374998008261232329836957569688293287900443675569,0.00746030654551374998008261232329836957569688293287900443675569,0.00746030654551374998008261232329836957569688293287900443675569,0.00746030654551374998008261232329836957569688293287900443675569,232.74622476646581581762188824837477069809010964560267891174,-1.5820382019751704665019734447804941391989974375994870337612,0.046549244953293163163524377649674954139618021929120535782348,0,0.959826703083893491693719281298269477547337963338027015434348,1,1,0,789.403747650288511816049781823868994012271390291869065916198,,5,5,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.9,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,1,1,0,50.10412049739407778610302359266419194292836585161295280911,1.00872369544075501538287362148489219377820579350339314084601,1,0,0,not-estimated-by-canonical-run,0.0087236954407550153828736214848921937782057935033931408460139,0.0087236954407550153828736214848921937782057935033931408460139,0.0087236954407550153828736214848921937782057935033931408460139,0.0087236954407550153828736214848921937782057935033931408460139,0.0087236954407550153828736214848921937782057935033931408460139,0.0087236954407550153828736214848921937782057935033931408460139,0.0087236954407550153828736214848921937782057935033931408460139,-10.680734368149568797762727136240613917294505739012705703646,0.506540457212863721532214589407540048835190596588547154273,0.046549244953293163163524377649674954139618021929120535782348,0.0486853918269230769230769230769230769230769230769230769230772,0.959826703083893491693719281298269477547337963338027015434348,0.957616606528998957237014515376915878416242060954620055539967,1,1,789.403747650288511816049781823868994012271390291869065916198,797.18376842948717948717948717948717948717948717948717948718,5,5,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.9,identity-a0-b0,fixed-1-usd,neutral_guarded_vs_dca,outside-current-safety-theorem,1,1,0,-7.20247996794871794871794871794871794871794871794871794871,0.998747537208700905805582865716496006028300014936985983756586,0,0,1,not-estimated-by-canonical-run,-0.00125246279129909419441713428350399397169998506301401624341353,-0.00125246279129909419441713428350399397169998506301401624341353,-0.00125246279129909419441713428350399397169998506301401624341353,-0.00125246279129909419441713428350399397169998506301401624341353,-0.00125246279129909419441713428350399397169998506301401624341353,-0.00125246279129909419441713428350399397169998506301401624341353,-0.00125246279129909419441713428350399397169998506301401624341353,243.426959134615384615384615384615384615384615384615384615386,-2.0885786591880341880341880341880341880341880341880341880342,0.0486853918269230769230769230769230769230769230769230769230772,0,0.957616606528998957237014515376915878416242060954620055539967,1,1,0,797.18376842948717948717948717948717948717948717948717948718,,5,5,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.9,identity-a0-b0,frictionless,corrected_guarded_vs_dca,epsilon-dca,1,1,0,42.95382935377291425033902100255600361084300028229426395607,1.00746191244898504969159564284676919439119321608467472736876,1,0,0,not-estimated-by-canonical-run,0.00746191244898504969159564284676919439119321608467472736876049,0.00746191244898504969159564284676919439119321608467472736876049,0.00746191244898504969159564284676919439119321608467472736876049,0.00746191244898504969159564284676919439119321608467472736876049,0.00746191244898504969159564284676919439119321608467472736876049,0.00746191244898504969159564284676919439119321608467472736876049,0.00746191244898504969159564284676919439119321608467472736876049,232.93242785764407080488009031574922226699629420101721833642,-1.5831549875322596379545089109432768221346107826560246198363,0.046586485571528814160976018063149844453399258840203443667284,0,0.959834832851857979997821698154685755404262862608126032863152,1,1,0,789.250699279441743550301709433984733851412140368555404109302,,0,0,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.9,identity-a0-b0,frictionless,corrected_guarded_vs_neutral_guarded,epsilon-dca,1,1,0,50.13932614864470912213389279742779848263787207716605882786,1.00872105862008410372836960643888231760710938443168072638238,1,0,0,not-estimated-by-canonical-run,0.00872105862008410372836960643888231760710938443168072638237795,0.00872105862008410372836960643888231760710938443168072638237795,0.00872105862008410372836960643888231760710938443168072638237795,0.00872105862008410372836960643888231760710938443168072638237795,0.00872105862008410372836960643888231760710938443168072638237795,0.00872105862008410372836960643888231760710938443168072638237795,0.00872105862008410372836960643888231760710938443168072638237795,-10.691370219279006118196832761173854656080628875905858586655,0.506922469732697627002756046321680442822654174608932645121,0.046586485571528814160976018063149844453399258840203443667284,0.048724759615384615384615384615384615384615384615384615384615,0.959834832851857979997821698154685755404262862608126032863152,0.957624930618781169283902198352411644128441230057146082613563,1,1,789.250699279441743550301709433984733851412140368555404109302,797.03485576923076923076923076923076923076923076923076923077,0,0,5,5
